Field,Experience,Location,Company Size,Salary,URL
IT - Phần mềm,Không yêu cầu,Hải Phòng & 8 nơi khác,100-499 nhân viên,12 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-phan-mem/1156867.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,"Hà Nội, Hồ Chí Minh",100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thu-nhap-10-20-trieu-nghi-thu-7-ha-noi-ho-chi-minh/1658797.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Viễn thông,1 năm,Hà Nội,25-99 nhân viên,Tới 50 triệu,https://www.topcv.vn/viec-lam/truong-phong-cong-nghe-tai-ha-noi-thu-nhap-cao-che-do-hap-dan-di-lam-ngay/1632282.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,25-99 nhân viên,20 - 25 triệu,https://www.topcv.vn/viec-lam/lap-trinh-vien-unity-backend-mang-game/1658782.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/viec-lam/nhan-vien-designer-2d-3d-social-in-an-thiet-ke-bao-bi-san-pham-va-su-kien/1658674.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/3d-lighting-artist-animation/1626385.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/fx-artist-animation/1626453.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Sản xuất,1 năm,Đà Nẵng,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-truyen-thong-da-phuong-tien-thu-nhap-hap-dan-yeu-cau-1-nam-kinh-nghiem/1635678.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,Dưới 1 năm,Hà Nội,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/cong-tac-vien-ky-thuat-trien-khai-theo-du-an-ha-noi/1656989.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/scrum-master/1639121.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Tài chính,5 năm,Hà Nội,5000+ nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/it-security-manager/1547720.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,Dưới 1 năm,Hà Nội,25-99 nhân viên,15 - 25 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-dich-vu-thu-viec-100-luong-toi-thieu-3-thang-kinh-nghiem-thu-nhap-15-25m-thang/1637690.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Sản xuất,3 năm,Hà Nội,100-499 nhân viên,14 - 17 triệu,https://www.topcv.vn/viec-lam/thiet-ke-do-hoa-graphic-design-luong-14-17-trieu/1634621.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Điện tử / Điện lạnh,1 năm,Hà Nội,25-99 nhân viên,"700 - 1,500 USD",https://www.topcv.vn/viec-lam/ky-su-lap-trinh-nhung-firmware-dien-tu-cong-suat/1653784.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hà Nội,25-99 nhân viên,Tới 25 triệu,https://www.topcv.vn/viec-lam/web-system-engineer-fullstack-vuejs-python/1448017.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Bán lẻ - Hàng tiêu dùng - FMCG,3 năm,Hồ Chí Minh,1000+ nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/mobile-developer-co-kinh-nghiem/1638774.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Khác,3 năm,Hà Nội,10-24 nhân viên,"2,500 - 5,000 USD",https://www.topcv.vn/viec-lam/quan-ly-du-an-kiem-ky-su-cau-noi-brse-thu-nhap-tu-2500-5000/1596597.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hà Nội,10-24 nhân viên,47.2 - 73.2 triệu,https://www.topcv.vn/viec-lam/pm-project-manager-brse-japanese-yeu-cau-tieng-nhat-n2-2-nam-kinh-nghiem-thu-nhap-tu-47-73-trieu/1584137.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,2 năm,Hải Phòng,100-499 nhân viên,11 - 15 triệu,https://www.topcv.vn/viec-lam/eif-staff-operations-assistant-management-short-term-5-months/1646399.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Dược phẩm / Y tế / Công nghệ sinh học,3 năm,Hồ Chí Minh,25-99 nhân viên,Tới 15 triệu,https://www.topcv.vn/viec-lam/graphic-design-cum-video-editor-3-nam-kinh-nghiem-san-pham-thuc-pham-chuc-nang-cham-soc-suc-khoe/1638622.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/matbao/tuyen-dung/soc-analyst-tier-1-j1637140.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hà Nội,10-24 nhân viên,18 - 30 triệu,https://www.topcv.vn/viec-lam/it-comtor-n1/1609204.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,3 năm,Hà Nội,25-99 nhân viên,25 - 30 triệu,https://www.topcv.vn/viec-lam/frontend-developer-vuejs-tu-3-nam-kinh-nghiem-luong-25-30m-thuong-nghi-thu-7-chu-nhat/1638167.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,5 năm,Hải Phòng,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/java-developer-senior/1627020.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,1 năm,Hà Nội,1-9 nhân viên,20 - 30 triệu,https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-python-ai-thu-nhap-20-30-trieu/1496103.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
IT - Phần mềm,Không yêu cầu,Hà Nội,10-24 nhân viên,30 - 50 triệu,https://www.topcv.vn/viec-lam/brse-product-manager-tieng-nhat-n2-non-tech/1609214.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Giáo dục / Đào tạo,1 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/giang-vien-cong-nghe-thong-tin-khoa-hoc-may-tinh/1334503.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
Sản xuất,1 năm,Đà Nẵng,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-3d-1-nam-kinh-nghiem-di-lam-ngay/1649533.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355156
